D, bits in q (base field size), bits in r
4736051, 31, 20
4739083, 52, 49
4743483, 50, 36
4748531, 24, 14
4763547, 38, 21
4791083, 66, 63
4811227, 126, 119
4830363, 113, 109
4843499, 27, 14
4866683, 21, 11
4866947, 38, 34
4871779, 21, 21
4873867, 315, 312
4881979, 21, 21
4887083, 21, 12
4891291, 60, 58
4960219, 28, 20
4962827, 62, 31
4967363, 248, 239
4968259, 277, 260
4975883, 30, 19
4976739, 43, 29
4978067, 48, 15
4983011, 266, 254
4989723, 21, 14
4994883, 21, 15
4998547, 35, 19
5009187, 35, 27
5017091, 33, 32
5018499, 124, 121
5020723, 21, 14
5025899, 21, 14
5027003, 35, 18
5043723, 64, 26
5044491, 29, 26
5053547, 24, 17
5061923, 44, 44
5063027, 135, 133
5070867, 24, 19
5083723, 33, 33
5091491, 59, 52
5114299, 21, 10
5119523, 21, 17
5123483, 44, 31
5123603, 59, 33
5166963, 38, 27
5174627, 59, 14
5177163, 21, 18
5182419, 21, 21
5186683, 441, 432
5192939, 21, 12
5198203, 21, 18
5200267, 43, 30
5210131, 37, 25
5210379, 49, 43
5216131, 50, 50
5216467, 89, 77
5222419, 89, 89
5224563, 21, 15
5229843, 21, 18
5232803, 59, 50
5242171, 24, 24
5256283, 21, 21
5261579, 21, 20
5289867, 24, 14
5329227, 290, 275
5337019, 73, 55
5342787, 53, 23
5352651, 677, 650
5370803, 45, 40
5384123, 21, 11
5389483, 21, 21
5403787, 24, 11
5407963, 28, 28
5410707, 57, 30
5423163, 28, 19
5464803, 21, 21
5470203, 21, 13
5471147, 34, 10
5474051, 95, 68
5482811, 24, 17
5497243, 21, 7
5499483, 35, 14
5501203, 32, 19
5502659, 21, 20
5544363, 30, 20
5549707, 24, 10
5550347, 39, 18
5559059, 67, 56
5562139, 47, 47
5591267, 78, 62
5595139, 21, 21
5600507, 78, 55
5600603, 21, 13
5611267, 67, 57
